"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"IV01_RV1"	"IV02_01"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"TR02_01"	"TR02_01a"	"TR02_02"	"TR02_02a"	"TR02_03"	"TR02_03a"	"TR02_04"	"TR02_04a"	"TR02_05"	"TR02_05a"	"TR02_06"	"TR02_06a"	"TR02_07"	"TR02_07a"	"TR02_08"	"TR02_08a"	"TR02_09"	"TR02_09a"	"TR02_10"	"TR02_10a"	"TR02_11"	"TR02_11a"	"TR02_12"	"TR02_12a"	"TR02_13"	"TR02_13a"	"TR02_14"	"TR02_14a"	"TR02_15"	"TR02_15a"	"TR02_16"	"TR02_16a"	"DV01_01"	"DV01_01a"	"DV03_01"	"DV03_01a"	"DV02_01"	"DV02_01a"	"DV04_01"	"DV04_01a"	"DV05_01"	"DV05_02"	"DV05_03"	"DV05_04"	"DM01_01"	"DM02"	"DM03"	"DM04"	"DM05"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
39			"base"	"interview"	2019-05-08 12:40:42	0	30	"5be7f8632d3fe40001bbfc63"	"Forced2Forced4Forced3Forced1Forced2Forced2Forced2Forced2Forced1Forced2Forced2Forced2Forced1Forced2Forced4Forced4DV1Inst3Forced6Forced7Forced7Forced5Forced7Forced7Forced7Forced7Forced8Forced5Forced7Forced8Forced8Forced7Forced5Forced7DV2"	1	1624	1	950	1	619	1	668	1	619	1	695	1	491	1	474	1	435	1	518	1	488	1	618	1	511	1	660	1	1044	1	512	1	1169	1	451	1	688	1	602	1	582	1	470	1	426	1	419	1	458	1	582	1	588	1	446	1	375	1	435	1	630	1	542	2	3583	1	2382	1	1328	2	2567	11	70	53	74	"5be7f8632d3fe40001bbfc63"	2	1	2	3	7	3	2	3	14	2	4	5	2	4	2	13	3	2	3	3	9	4	8	13	106		2019-05-08 12:42:28	T	F	20	20	0	0	1.72	41
40			"base"	"interview"	2019-05-08 12:41:50	0	2	"5c0e319cbeb9f90001c99480"	"Forced2Forced2Forced4Forced1Forced2Forced4Forced2Forced3Forced2Forced2Forced1Forced2Forced2Forced2Forced4Forced1DV1Inst3Forced5Forced7Forced7Forced5Forced8Forced7Forced7Forced7Forced7Forced7Forced5Forced8Forced7Forced8Forced6Forced7DV2"	1	4260	1	892	1	2641	1	1554	1	1707	1	1093	1	959	1	2932	1	937	1	744	1	1215	1	954	1	636	1	639	1	964	1	950	1	2323	1	1894	1	805	1	1057	1	1322	1	956	1	949	1	751	1	581	1	707	1	1054	1	1738	1	779	1	661	1	1214	1	845	2	7061	1	2670	2	1706	2	2040	54	18	54	73	"5c0e319cbeb9f90001c99480"	10	2	2	4	12	9	2	6	16	4	7	8	3	6	2	15	5	2	3	3	14	3	7	18	145		2019-05-08 12:44:15	T	F	20	20	0	0	1.31	19
41			"base"	"interview"	2019-05-08 12:46:07	0	32	"5b817311db2db60001b23ebe"	"Forced4Forced4Forced4Forced3Forced2Forced4Forced3Forced2Forced4Forced1Forced4Forced4Forced3Forced4Forced2Forced4DV1Inst3Forced5Forced5Forced6Forced5Forced7Forced8Forced5Forced7Forced5Forced7Forced5Forced5Forced5Forced6Forced5Forced6DV2"	1	4005	1	5279	1	913	1	4074	1	6745	1	923	1	5157	1	2032	1	858	1	1570	1	892	1	2246	1	747	1	640	1	927	1	650	1	2268	1	671	1	987	1	549	1	1402	1	688	1	872	1	693	1	554	1	588	1	2015	1	741	1	668	1	922	1	526	1	568	1	4953	2	2867	1	1792	1	2006	47	55	60	52	"5b817311db2db60001b23ebe"	3	2	2	4	6	3	3	3	12	12	21	6	4	14	5	6	1	3	2	4	21	3	13	12	145		2019-05-08 12:48:42	T	F	20	20	0	0	1.34	28
42			"base"	"interview"	2019-05-08 12:48:06	0	20	"5c703ae661dd7e0001a15495"	"Forced3Forced4Forced2Forced4Forced4Forced2Forced3Forced4Forced3Forced2Forced4Forced4Forced4Forced4Forced4Forced1DV1Inst3Forced5Forced5Forced6Forced5Forced5Forced6Forced7Forced6Forced8Forced5Forced5Forced5Forced7Forced5Forced5Forced7DV2"	1	2346	1	1472	1	1471	1	1424	1	666	1	489	1	462	1	470	1	555	1	504	1	473	1	534	1	423	1	434	1	313	1	569	1	1234	1	548	1	579	1	570	1	535	1	1979	1	496	1	585	1	406	1	431	1	637	1	602	1	454	1	585	1	409	1	2333	2	7587	2	4399	2	1327	1	2096	47	15	87	74	"5c703ae661dd7e0001a15495"	2	1	2	3	7	4	4	1	4	4	12	9	2	10	5	5	1	2	2	5	9	3	5	9	103		2019-05-08 12:49:49	T	F	20	20	0	0	1.67	54
43			"base"	"interview"	2019-05-08 12:50:05	0	4	"5aa47157f6dfdd0001eaf1ea"	"Forced4Forced2Forced4Forced2Forced4Forced4Forced4Forced3Forced4Forced1Forced4Forced4Forced4Forced3Forced3Forced2DV1Inst3Forced7Forced6Forced5Forced6Forced5Forced5Forced5Forced5Forced7Forced7Forced5Forced5Forced5Forced8Forced6Forced5DV2"	1	14220	1	5006	1	2044	1	2002	1	1569	1	1114	1	922	1	1595	1	2160	1	2197	1	951	1	900	1	2451	1	1201	1	977	1	825	1	2284	1	2196	1	2061	1	1190	1	945	1	854	1	987	1	888	1	1421	1	1011	1	896	1	714	1	1018	1	1358	1	949	1	887	2	13854	2	7525	2	7135	1	5159	21	35	22	34	"5aa47157f6dfdd0001eaf1ea"	40	1	2	4	37	9	5	2	9	7	34	15	5	15	7	7	2	8	4	9	17	5	5	31	223		2019-05-08 12:53:59	T	F	20	20	0	0	0.96	14
44			"base"	"interview"	2019-05-08 12:50:06	0	14	"595ff624f543ba0001cc5cb3"	"Forced2Forced2Forced2Forced2Forced1Forced2Forced4Forced2Forced3Forced4Forced2Forced1Forced1Forced2Forced2Forced4DV1Inst3Forced5Forced7Forced5Forced5Forced7Forced7Forced7Forced6Forced7Forced8Forced7Forced7Forced8Forced7Forced8Forced7DV2"	1	16170	1	7105	1	1506	1	1057	1	3200	1	1760	1	4033	1	1366	1	1812	1	989	1	955	1	1007	1	820	1	2642	1	1176	1	1156	1	3529	1	1560	1	812	1	889	1	765	1	780	1	737	1	1122	1	678	1	1259	1	799	1	681	1	753	1	718	1	686	1	691	1	4006	1	7396	2	1766	2	4458	53	30	41	74	"595ff624f543ba0001cc5cb3"	37	2	2	3	13	7	9	8	39	2	9	4	5	8	2	14	4	2	2	9	16	6	8	24	191		2019-05-08 12:53:18	T	F	20	20	0	0	1.15	20
46			"base"	"interview"	2019-05-08 12:51:28	0	18	"5c97186c79a68c0001a16e3a"	"Forced4Forced4Forced2Forced2Forced4Forced2Forced2Forced1Forced2Forced2Forced2Forced3Forced1Forced1Forced2Forced2DV1Inst3Forced7Forced6Forced5Forced7Forced7Forced7Forced7Forced7Forced8Forced7Forced8Forced7Forced7Forced5Forced8Forced5DV2"	1	4597	1	3566	1	3985	1	1765	1	2337	1	1852	1	1669	1	3050	1	1226	1	794	1	2200	1	5086	1	1146	1	959	1	1808	1	754	1	3227	1	2523	1	2489	1	814	1	712	1	606	1	926	1	524	1	2203	1	805	1	860	1	872	1	639	1	1306	1	727	1	887	1	5107	1	3688	2	2266	2	2486	53	23	31	94	"5c97186c79a68c0001a16e3a"	18	2	2	3	7	2	6	8	24	6	13	6	4	8	3	16	7	3	2	4	13	4	8	21	165		2019-05-08 12:54:13	T	F	20	20	0	0	1.17	16
47			"base"	"interview"	2019-05-08 12:53:10	0	7	"5c0ef3b805ed100001f78fcf"	"Forced3Forced3Forced4Forced3Forced1Forced3Forced3Forced3Forced4Forced1Forced2Forced3Forced1Forced3Forced4Forced3DV1Inst3Forced6Forced6Forced5Forced6Forced5Forced6Forced7Forced8Forced6Forced6Forced6Forced6Forced6Forced8Forced5Forced8DV2"	1	2421	1	1257	1	2134	1	47851	1	2315	1	1033	1	772	1	652	1	685	1	998	1	1816	1	2225	1	1734	1	1073	1	2975	1	780	1	1582	1	606	1	1013	1	767	1	616	1	849	1	1305	1	999	1	1820	1	688	1	544	1	531	1	606	1	1864	1	1615	1	1502	1	11131	2	2360	2	4804	1	5292	80	77	9	34	"5c0ef3b805ed100001f78fcf"	19	2	2	6	12	3	7	6	3	64	9	12	7	4	15	2	7	6	2	3	12	6	8	12	145		2019-05-08 12:56:30	T	F	20	20	0	0	1.2	22
48			"base"	"interview"	2019-05-08 12:53:17	0	16	"5c1bcb4210140800013eea95"	"Forced2Forced4Forced3Forced4Forced3Forced4Forced4Forced4Forced1Forced4Forced4Forced4Forced2Forced4Forced2Forced3DV1Inst3Forced7Forced8Forced5Forced5Forced6Forced6Forced5Forced5Forced5Forced7Forced5Forced7Forced5Forced5Forced6Forced5DV2"	1	12303	1	9346	1	8904	1	4067	1	5068	1	3326	1	3081	1	1855	1	3394	1	1688	1	1611	1	731	1	2763	1	1059	1	1137	1	1429	1	2530	1	1560	1	2017	1	1040	1	2531	1	792	1	1390	1	651	1	831	1	1291	1	1063	1	869	1	789	1	811	1	503	1	471	1	5908	2	6080	2	1542	1	4614	62	20	50	77	"5c1bcb4210140800013eea95"	8	2	1	3	61	12	7	4	18	17	33	6	6	14	6	6	2	2	3	6	19	5	18	20	211		2019-05-08 12:57:43	T	F	20	20	0	0	0.92	10
49			"base"	"interview"	2019-05-08 12:53:23	0	10	"59d0d2f54f2d3d0001d8e04f"	"Forced4Forced1Forced1Forced4Forced2Forced2Forced2Forced3Forced2Forced4Forced1Forced2Forced2Forced2Forced2Forced2DV1Inst3Forced5Forced6Forced7Forced7Forced7Forced7Forced7Forced7Forced5Forced7Forced8Forced5Forced8Forced7Forced7Forced8DV2"	1	12306	1	9184	1	6261	1	7223	1	10609	1	2873	1	2002	1	7930	1	1440	1	1761	1	2475	1	1064	1	838	1	768	1	887	1	763	1	3426	1	2490	1	3901	1	1481	1	1118	1	1019	1	673	1	784	1	1484	1	1063	1	2804	1	1195	1	1100	1	816	1	649	1	700	2	8852	1	9251	2	4193	2	2920	36	81	20	74	"59d0d2f54f2d3d0001d8e04f"	7	2	2	3	24	7	4	22	33	9	25	10	4	8	4	24	8	6	3	10	13	4	8	18	244		2019-05-08 12:57:27	T	F	20	20	0	0	0.78	2
