"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"IV01_RV1"	"IV02_01"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"DV01_01"	"DV07_02"	"DV02_01"	"DV08_02"	"DV06_01"	"DV06_02"	"DV05_01"	"DV09_01"	"DV09_01a"	"DV10_01"	"DV10_01a"	"DM01_01"	"DM02"	"DM03"	"DM04"	"DM05"	"DM06_01"	"DM07_01"	"DM08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
106			"base"	"interview"	2020-03-20 10:51:40	0	17	"5aee52af3606ab0001b92b44"	"Forced3Forced1Forced1Forced1Forced1Forced1Forced2Forced1Forced4Forced1Forced2Forced1Forced3Forced1Forced3Forced2DV"	1	3859	1	1250	1	1533	1	1839	1	790	1	604	1	4228	1	1833	1	2809	1	1063	1	920	1	1487	1	1067	1	907	1	747	1	770	41	34	78	71	70	58	35	2	8120	1	8688	"5aee52af3606ab0001b92b44"	6	2	1	4	"Indian"	"Kannada, English"	1	125	22	19	8	9	4	10	15	9	13	15	9	20	278		2020-03-20 10:56:18	T	F	14	14	0	0	1.03	9
107			"base"	"interview"	2020-03-20 10:51:56	0	16	"5c7f9f567438f300133933d0"	"Forced2Forced4Forced2Forced4Forced3Forced3Forced4Forced4Forced3Forced4Forced4Forced4Forced2Forced4Forced4Forced1DV"	1	9875	1	6348	1	5177	1	3335	1	4974	1	1519	1	1863	1	1781	1	1679	1	1267	1	1246	1	2325	1	1890	1	1160	1	1295	1	2538	61	86	71	91	41	61	76	2	9722	2	19548	"5c7f9f567438f300133933d0"	12	1	2	4	"french"	"french"	2	104	32	4	19	11	27	20	31	10	83	85	23	30	353		2020-03-20 10:59:55	T	F	14	14	0	0	0.6	4
108			"base"	"interview"	2020-03-20 10:52:19	0	24	"5a143884bd04860001b01123"	"Forced4Forced1Forced3Forced4Forced2Forced4Forced2Forced3Forced4Forced2Forced4Forced3Forced4Forced4Forced4Forced4DV"	1	3413	1	3270	1	2362	1	1776	1	1648	1	1381	1	1160	1	1121	1	2070	1	1100	1	1156	1	1065	1	931	1	858	1	942	1	901	79	41	14	40	51	74	51	1	4392	1	5994	"5a143884bd04860001b01123"	32	2	2	5	"British"	"English"	1	13	14	4	4	7	19	7	5	5	11	19	9	11	128		2020-03-20 10:54:28	T	F	14	14	0	0	1.62	33
109			"base"	"interview"	2020-03-20 10:52:25	0	2	"5d36b8cdc7b6670001854ef2"	"Forced2Forced4Forced2Forced2Forced1Forced2Forced2Forced4Forced2Forced2Forced1Forced4Forced1Forced2Forced3Forced2DV"	1	4276	1	2448	1	1386	1	1082	1	1518	1	815	1	692	1	867	1	667	1	499	1	373	1	559	1	517	1	393	1	748	1	609	38	62	29	37	35	69	68	2	5526	2	5820	"5d36b8cdc7b6670001854ef2"	8	2	2	5	"Poland"	"Polish"	1	11	28	5	17	1	6	6	8	6	7	21	9	14	139		2020-03-20 10:54:44	T	F	14	14	0	0	1.59	52
110			"base"	"interview"	2020-03-20 10:52:38	0	28	"5e19711e0432d32175901193"	"Forced4Forced1Forced3Forced4Forced2Forced4Forced4Forced2Forced4Forced4Forced4Forced4Forced3Forced3Forced4Forced2DV"	1	21041	1	8683	1	14186	1	3967	1	6058	1	3486	1	2464	1	1696	1	1944	1	1486	1	1368	1	1547	1	1152	1	847	1	893	1	1154	71	61	81	81	61	40	36	1	5087	1	8908	"5e19711e0432d32175901193"	10	2	2	4	"Republic of Korea"	"Korean"	2	44	21	9	11	20	49	10	15	6	18	44	9	30	245		2020-03-20 10:57:24	T	F	14	14	0	0	0.8	1
111			"base"	"interview"	2020-03-20 10:52:38	0	6	"5d433248638dca0015da9d7b"	"Forced2Forced4Forced2Forced2Forced1Forced2Forced2Forced3Forced2Forced4Forced4Forced2Forced2Forced1Forced2Forced1DV"	1	19324	1	7521	1	4730	1	4137	1	3983	1	1313	1	550	1	10158	1	813	1	1183	1	635	1	748	1	576	1	537	1	518	1	590	41	21	51	76	66	41	61	1	5377	2	10363	"5d433248638dca0015da9d7b"	2	1	2	2	"British"	"English"	1	18	3	7	39	10	11	11	10	6	16	22	8	20	181		2020-03-20 10:55:39	T	F	14	14	0	0	1.2	31
112			"base"	"interview"	2020-03-20 10:52:39	0	25	"5db74911fe9521000b21f667"	"Forced1Forced1Forced1Forced1Forced3Forced2Forced3Forced2Forced2Forced4Forced1Forced1Forced3Forced1Forced1Forced1DV"	1	8466	1	1962	1	1971	1	1022	1	1652	1	1336	1	4184	1	618	1	674	1	2828	1	888	1	719	1	698	1	641	1	704	1	555	61	52	71	71	81	51	21	1	9241	1	57692	"5db74911fe9521000b21f667"	2	1	2	2	"Polish"	"Polish"	1	17	3	23	5	9	3	59	21	10	28	54	10	33	226		2020-03-20 10:57:14	T	F	14	14	0	0	1.15	37
113			"base"	"interview"	2020-03-20 10:52:40	0	32	"5dee62c0770a434f62147de2"	"Forced1Forced3Forced4Forced4Forced3Forced3Forced4Forced4Forced2Forced4Forced2Forced4Forced2Forced4Forced4Forced4DV"	1	5760	1	1858	1	3949	1	3477	1	1204	1	876	1	1016	1	816	1	1780	1	1353	1	1151	1	829	1	831	1	904	1	899	1	760	77	32	78	76	73	37	64	2	6249	2	8201	"5dee62c0770a434f62147de2"	18	1	2	5	"Greece"	"Greek"	2	50	22	7	6	6	22	9	8	7	24	24	10	21	216		2020-03-20 10:56:16	T	F	14	14	0	0	1.04	7
114			"base"	"interview"	2020-03-20 10:52:41	0	1	"5bd888d75e184c000165e254"	"Forced1Forced3Forced1Forced3Forced1Forced3Forced1Forced1Forced1Forced4Forced1Forced2Forced2Forced1Forced1Forced2DV"	1	9037	1	4614	1	3481	1	2509	1	3418	1	2300	1	2716	1	2202	1	1907	1	3725	1	2405	1	3373	1	2501	1	2173	1	1566	1	2495	91	86	87	86	77	68	48	1	12839	1	15425	"5bd888d75e184c000165e254"	20	1	2	5	"Irish"	"English"	1	42	18	37	10	12	5	16	15	14	18	20	15	18	212		2020-03-20 10:56:41	T	F	14	14	0	0	0.87	5
115			"base"	"interview"	2020-03-20 10:52:42	4	18	"5bafd12a70f8df0001be84a7"	"Forced2Forced2Forced3Forced2Forced1Forced1Forced2Forced4Forced2Forced1Forced4Forced2Forced4Forced2Forced2Forced2DV"	1	4584	1	3408	1	3661	1	3081	1	3250	1	2797	1	2755	1	3455	1	3232	1	3918	1	5615	1	5393	1	4488	1	3256	1	3249	1	2364	61	76	51	51	51	71	71	2	14232	2	19179	"5bafd12a70f8df0001be84a7"	13	1	2	5	"polish nationality"	"Polish"	2	204	105	12	35	5	16	20	38	15	46	40	47	92	255		2020-03-20 11:03:57	T	F	14	14	0	0	0.47	2
