"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"IV01_RV1"	"IV02_01"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"DV01_01"	"DV01_01a"	"DV02_01"	"DV02_01a"	"DV03_01"	"DV04_01"	"DV05_01"	"DV05_01a"	"DV06_01"	"DV06_01a"	"DV07_01"	"DV07_02"	"DV08_01"	"DV08_02"	"DV09_01"	"DV09_02"	"DV10_01"	"DV10_02"	"DV11_01"	"DV11_02"	"DV12_01"	"DV12_02"	"DM01_01"	"DM02"	"DM03"	"DM04"	"DM05"	"DM06_01"	"DM07_01"	"DM08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
21			"base"	"interview"	2020-07-27 11:01:51	0	29	"5ebc0c153f8b2e04d3833423"	"Forced1Forced4Forced1Forced1Forced3Forced1Forced1Forced2Forced3Forced1Forced3Forced2Forced1Forced2Forced1Forced1DV"	1	8326	1	5470	1	9746	1	4969	1	11754	1	14270	1	6883	1	6884	1	9193	1	6195	1	6350	1	4458	1	3763	1	4681	1	5730	1	2884	1	8690	2	11237	40	65	1	11579	2	11355	88	13			76	94	75	34	94	94	99	97	"5ebc0c153f8b2e04d3833423"	2	2	2	3	"Polish"	"Polish"	2	66	41	68	18	30	6	9	23	12	91	14	12	7	13	30	18	49	346		2020-07-27 11:10:19	T	F	18	18	0	0	0.6	2
22			"base"	"interview"	2020-07-27 11:02:27	0	18	"5ce291e7fd11c100162601ac"	"Forced2Forced2Forced2Forced2Forced2Forced1Forced2Forced1Forced2Forced2Forced4Forced4Forced2Forced4Forced1Forced3DV"	1	4216	1	5642	1	1405	1	955	1	1275	1	2649	1	1058	1	980	1	946	1	597	1	2283	1	639	1	1035	1	1029	1	881	1	1510	1	3589	2	2346	37	74	2	4252	2	9677	26	68			21	75	81	22	42	12	64	24	"5ce291e7fd11c100162601ac"	4	2	1	4	"british"	"English "	1	12	49	5	24	2	6	5	24	5	17	16	3	6	10	17	15	17	233		2020-07-27 11:06:20	T	F	18	18	0	0	1.3	27
23			"base"	"interview"	2020-07-27 11:03:08	0	38	"59a6f6ca7ff2320001ec576d"	"Forced1Forced2Forced2Forced1Forced4Forced1Forced4Forced2Forced2Forced2Forced2Forced3Forced2Forced4Forced2Forced2DV"	1	2825	1	1898	1	1340	1	1313	1	1727	1	1285	1	1308	1	1380	1	1619	1	663	1	765	1	1469	1	1416	1	1401	1	971	1	843	2	3253	2	5438	39	62	2	4558	2	3878			78	61	34	44	71	51	41	65	41	67	"59a6f6ca7ff2320001ec576d"	10	3	2	3	"united kingdom"	"english"	2	33	21	8	20	2	8	7	20	5	27	13	5	7	6	17	9	12	220		2020-07-27 11:06:48	T	F	18	18	0	0	1.16	16
24			"base"	"interview"	2020-07-27 11:03:34	0	8	"5efc6887f7176d000b996a71"	"Forced4Forced3Forced4Forced4Forced4Forced2Forced1Forced4Forced4Forced3Forced4Forced3Forced4Forced2Forced2Forced4DV"	1	2321	1	3330	1	1660	1	1084	1	1371	1	1352	1	899	1	1125	1	880	1	679	1	1557	1	1044	1	1214	1	1119	1	501	1	2217	1	4547	2	3869	31	81	1	2660	2	4607	81	46			101	51	16	86	81	81	79	83	"5efc6887f7176d000b996a71"	5	2	2	3	"Germany"	"German"	2	55	16	2	4	7	18	5	14	3	24	13	5	9	5	16	11	13	220		2020-07-27 11:07:14	T	F	18	18	0	0	1.31	24
25			"base"	"interview"	2020-07-27 11:03:49	0	48	"5c940c78e2d9fb0001386eb0"	"Forced4Forced4Forced2Forced4Forced3Forced3Forced1Forced4Forced4Forced4Forced4Forced4Forced2Forced4Forced2Forced3DV"	1	53509	1	4674	1	6191	1	3454	1	4197	1	2966	1	3679	1	3163	1	2349	1	2582	1	2176	1	3091	1	3481	1	2107	1	2151	1	1845	2	2103	1	5569	86	24	2	2373	1	4822			39	85	75	34	32	81	83	76	88	97	"5c940c78e2d9fb0001386eb0"	26	2	2	4	"British "	"English"	2	42	16	4	13	10	85	6	14	6	33	10	3	3	4	14	14	14	215		2020-07-27 11:08:40	T	F	18	18	0	0	1.21	16
28			"base"	"interview"	2020-07-27 11:04:25	0	52	"5c78db75ffd1190017be6d9a"	"Forced3Forced4Forced4Forced3Forced4Forced4Forced2Forced2Forced4Forced4Forced4Forced1Forced3Forced4Forced2Forced4DV"	1	3504	1	4227	1	7393	1	1910	1	1623	1	1461	1	2393	1	2271	1	2343	1	1851	1	1734	1	2559	1	2599	1	1897	1	2076	1	2087	1	3229	2	12390	38	62	1	5102	2	5362			74	101	101	101	101	101	101	101	101	101	"5c78db75ffd1190017be6da"	14	2	2	3	"British"	"English"	2	54	23	4	8	10	31	13	16	6	22	12	4	6	6	10	11	15	251		2020-07-27 11:08:36	T	F	18	18	0	0	1.09	11
29			"base"	"interview"	2020-07-27 11:04:26	0	46	"5c7809d56b48600015a573f6"	"Forced2Forced2Forced2Forced3Forced2Forced1Forced2Forced4Forced1Forced4Forced1Forced2Forced2Forced2Forced2Forced4DV"	1	25524	1	3052	1	25758	1	3953	1	1960	1	2432	1	1406	1	1610	1	1398	1	1077	1	1090	1	972	1	1016	1	996	1	898	1	1308	2	3560	1	6971	68	1	2	4337	1	13006			82	32	18	78	74	32	101	101	101	101	"5c7809d56b48600015a573f6"	21	1	2	4	"British"	"English"	1	17	15	7	68	5	7	8	9	14	35	11	4	7	5	15	102	47	226		2020-07-27 11:10:42	T	F	18	18	0	0	1.03	10
30			"base"	"interview"	2020-07-27 11:04:29	0	5	"5e9aefed2bfcae181986ae8c"	"Forced3Forced3Forced1Forced1Forced4Forced1Forced2Forced1Forced1Forced1Forced2Forced2Forced1Forced3Forced1Forced1DV"	1	5283	1	4743	1	7033	1	5116	1	3781	1	2233	1	3905	1	2309	1	1225	1	1784	1	1594	1	1709	1	2378	1	2316	1	1654	1	1303	1	15275	2	10330	74	29	1	4927	2	6692	87	38			58	24	33	80	87	82	77	76	"5e9aefed2bfcae181986ae8c"	8	2	2	4	"Italian, Romanian"	"Italian, Romanian"	1	11	21	30	10	15	5	16	11	5	35	13	11	7	7	20	10	30	257		2020-07-27 11:08:46	T	F	18	18	0	0	0.99	8
31			"base"	"interview"	2020-07-27 11:04:30	0	28	"5ef2ff90ab8ba3000906d373"	"Forced3Forced2Forced4Forced1Forced4Forced3Forced2Forced3Forced2Forced4Forced4Forced4Forced4Forced4Forced4Forced4DV"	1	6418	1	4610	1	4232	1	3889	1	2122	1	1638	1	4039	1	1033	1	859	1	2169	1	1627	1	877	1	2238	1	7685	1	523	1	1479	2	7943	1	2689	74	31	2	3770	1	3288	21	81			21	65	75	28	76	87	73	73	"5ef2ff90ab8ba3000906d373"	1	1	2	3	"South African"	"English"	2	87	15	5	16	13	35	10	12	5	31	13	5	8	6	18	19	26	324		2020-07-27 11:09:54	T	F	18	18	0	0	0.89	3
32			"base"	"interview"	2020-07-27 11:04:39	0	6	"5ef4f1a681666311845e40ef"	"Forced2Forced4Forced2Forced2Forced4Forced2Forced4Forced1Forced2Forced1Forced2Forced2Forced3Forced1Forced2Forced2DV"	1	2747	1	1832	1	1574	1	1303	1	1391	1	1254	1	1139	1	1495	1	1153	1	1035	1	706	1	731	1	1417	1	1225	1	651	1	687	1	6840	2	8847	19	79	1	4203	2	3042	97	3			94	22	13	91	79	78	83	79	"5ef4f1a681666311845e40ef"	19	2	2	2	"British"	"English"	1	22	18	6	15	2	7	8	15	5	32	10	9	6	4	16	14	27	216		2020-07-27 11:08:15	T	F	18	18	0	0	1.18	18
